deltaT,N,A50mean,A50std,AstdMean,fitAmpMean,fitAmpStd,fitAmpStdMean,B50mean,B50std,BstdMean,fitDecayMean,fitDecayStd,fitDecayStdMean
0.01,1000.0,0.842562115714939,0.2623370613378207,0.40697537727581506,1.00782203756443,0.5052117107403542,0.025528299791894173,0.9869524002389501,0.0043266298333570164,0.003945765860068394,1.2647353871574933,1.975992024000069,0.06301582867603166
0.01,10000.0,0.9893891285238576,0.13404867285574032,0.1461773811460968,1.006884826273861,0.1791991887843357,0.011343633880746001,0.9897585020214625,0.0014007836610906946,0.0013752226105445719,1.0738493117650865,0.4411863668680667,0.01682465993847981
0.01,2000.0,0.9208050850599309,0.23860361559750412,0.3304993185368813,1.032981127506648,0.3530121070995726,0.018500663555607148,0.9884375627593422,0.0031135021602079144,0.002891911914684532,1.1280760810324146,0.8356683820807413,0.028031145538073943
0.01,500.0,0.7702749261864593,0.2825467678723212,0.4735238493351542,1.065030616670011,0.6623774367321977,0.023304230643519944,0.9851959572642697,0.0058463876427632434,0.0052589849652610494,1.2472617578150653,2.124135336287797,0.07257125432311914
0.01,5000.0,0.95267753563058,0.17835887391388128,0.20436139946783627,0.9939323708716115,0.23742965539006922,0.016459878308838365,0.9891822758964934,0.0020206087390534392,0.0019346480141530847,1.0910917826054516,0.6248863228423261,0.024100698509906475
0.05,1000.0,0.9693682680462483,0.1782344009025206,0.21000718826292863,1.004033575344829,0.23062359739987082,0.033906614812881625,0.9479853470435146,0.009566169332045397,0.009398143525894105,1.1320461315290269,0.6860797457288795,0.05288974140450441
0.05,10000.0,0.9988534358905852,0.06350539681788271,0.06370437923681965,1.000963879722719,0.08300008373126108,0.010944201697251488,0.9509487754484801,0.003112089541557933,0.0030657025115960464,1.0117201155916051,0.15658713952484268,0.016006840322150093
0.05,2000.0,0.9775587287697912,0.13619473725847694,0.143719848188866,0.9918902464960282,0.17548201929076998,0.02423176264428912,0.9491283818040128,0.007040086021876063,0.006789703088425274,1.065238655396922,0.4291725420798117,0.03719451344011506
0.05,500.0,0.9348012907306301,0.21711748361032632,0.29646667201715227,1.0097212290241606,0.3334197820684157,0.048608889560891044,0.9449925126561373,0.01286383908387786,0.012858903101585663,1.2125734087411615,1.2458061555941053,0.08840428395000184
0.05,5000.0,0.9946005017428923,0.08821313747070807,0.09048558918763817,0.9960216489273515,0.11136962784370158,0.015462213994106178,0.9505783269162917,0.004413313859402334,0.004324862901435128,1.0399294329023925,0.23330822544816773,0.02323975247202888
0.1,1000.0,0.9811223752123885,0.13408364692431665,0.1443939908522565,0.9791171179238083,0.19012531392929696,0.04287435387757003,0.9011436768979459,0.013315974841591556,0.013232675462895952,1.1522933565511293,0.7843169512326998,0.07889320867208234
0.1,10000.0,1.0009544385550526,0.04486589185402759,0.04507552939497864,0.9987654748288668,0.06926891718697492,0.014325834075170445,0.9046930415242774,0.004257867395415325,0.004244763390216489,1.0124951254835475,0.11710709434753974,0.021532435894614014
0.1,200.0,0.9189266422356971,0.24247495462564406,0.32758350953020676,1.003216280444051,0.37284738403333534,0.06955908454810296,0.8879585208797511,0.030406717755641605,0.028079338114629822,1.1965126162603215,1.1550212643492883,0.1291970155893184
0.1,2000.0,0.9885020420259418,0.09584739718043299,0.10095664368180125,0.993634122214096,0.12312882948871601,0.03126641691443962,0.902851252225146,0.009596920850966533,0.009446346596190716,1.0368134633236783,0.3188001584559192,0.04864339914964009
0.1,500.0,0.9691246330633604,0.1801873624718655,0.2099432920167097,0.9697588433737924,0.2833025592685502,0.0568586203437139,0.8985798298203039,0.019239086663177637,0.018322050629635975,1.3139527731905711,1.6878287775289385,0.14683149137369833
0.1,5000.0,0.9990076403388516,0.060526406228420426,0.06381309523753166,0.9994976678964816,0.09008231943494337,0.020277397137944877,0.9044082085002565,0.005801534121694143,0.005981263047573253,1.0088996912208332,0.16065597824172972,0.03030863057950378
0.2,1000.0,0.9859443641986739,0.09818197988188321,0.10104711323448155,0.9854328854793819,0.11868580305544485,0.040975812325880975,0.8145207206224008,0.01831842825363072,0.01802612286921187,1.0398925846109774,0.3038460534466414,0.06769561845568099
0.2,10000.0,0.9983456671558772,0.031026340779211698,0.03179147339330328,0.9960006437121718,0.056797453961749934,0.013550262631413486,0.8183165316227976,0.005545544255925898,0.005728161700828795,1.0032866299339653,0.08687904518218098,0.02129998810007153
0.2,200.0,0.9601501924187171,0.1902295836560075,0.23504942800286868,0.9544985336253449,0.29517013903161626,0.0813327533536793,0.8025397082436188,0.039586032302017335,0.03899417807256664,1.3610763140974473,1.923588307092748,0.24385164644706428
0.2,2000.0,0.9948848636602283,0.06861296732879475,0.07143781477164315,0.9983208938944118,0.0864278640719267,0.029984346329463975,0.8171036072396431,0.012489920786544591,0.012757466145904412,1.0039440054699105,0.18408066158093658,0.046931555790611236
0.2,500.0,0.9804099018328535,0.1317868675450748,0.1450746833503219,0.9771546017683791,0.1703797236640339,0.054965894419994325,0.8120674561729658,0.02508176207797371,0.02519665936532047,1.1370550173002698,0.6979711954948921,0.10413256315456297
0.2,5000.0,0.9977950830496419,0.04538415569798618,0.04498383901927029,0.994224401656751,0.08121649423108275,0.01882343083751988,0.8178477585827182,0.008275311663950916,0.008092172565865708,1.0026762238415523,0.12485050613982539,0.029531787811974627
